    DEPTH     CALD       TEND       CORR        DEN       NPHI        GRR        SPR       CALR       TENR       RILD       RILM       RFOC       TENS         DT
  110.5000    13.5927    18.7151     0.1090     2.4753     0.2412    77.1785   -33.8228  -999.2500   -49.4325    16.1843    10.0286    10.3331   -38.7145   114.3298
  111.0000    13.6246    17.6162     0.1092     2.4663     0.2558    79.6031   -33.9699  -999.2500   -49.0256    15.2042     9.8219    10.0513   -32.1707   115.4422
  111.5000    13.6566    16.4918     0.0975     2.4533     0.2570    81.7261   -34.1169  -999.2500   -48.6186    14.6856     9.6151     9.7096   -40.8431   116.0307
  112.0000    13.6885    15.1556     0.0993     2.4276     0.2491    83.8491   -34.2653  -999.2500   -48.2117    14.2835     9.2273     9.5043   -41.8019   116.2449
  112.5000    13.7055    14.0603     0.1070     2.4172     0.2503    82.0534   -34.5637  -999.2500   -47.8047    14.0866     9.1000     9.1238   -42.7607   116.6837
  113.0000    13.7226     5.4689     0.1118     2.4165     0.2578    79.0482   -34.8620  -999.2500   -47.3977    13.7009     8.8509     8.8137   -43.7195   116.8234
  113.5000    13.7096     4.3736     0.1015     2.4174     0.2679    76.3447   -35.1601  -999.2500   -46.9908    13.2267     8.8506     8.8755   -44.6783   116.7379
  114.0000    13.7271     3.2784     0.0717     2.4251     0.2691    76.6577   -35.7585  -999.2500   -46.6867    12.6938     8.9739     8.9412   -53.1110   116.0509
  114.5000    13.7441     2.1832     0.0600     2.4327     0.2579    80.2919   -36.3580  -999.2500   -46.6867    12.5188     8.9735     9.1898   -54.0698   114.9845
  115.0000    13.7611     1.1244     0.0602     2.4351     0.2495    81.8087   -37.2588  -999.2500   -54.2169    12.6060     8.8497     9.1904   -55.0286   114.0369
